location,source,target,id,fuzzy,context,translator_comments,developer_comments
,Flechette Grenade,Кассетная граната,,False,,,
,Undefined Weapon Name,Неопределенное название оружия,,False,,,
,Stim Packs,Стимуляторы,,False,,,
,Spider Mines,Паучьи мины,,False,,,
,Tank Siege Mode,Осадный режим танка,,False,,,
,Irradiate,Облучение,,False,,,
,Yamato Gun,Орудие «Ямато»,,False,,,
,Cloaking Field,Маскировочное поле,,False,,,
,Lockdown,Lockdown,,False,,,
,Defensive Matrix,Defensive Matrix,,False,,,
,Research Caduceus Reactor\n(+50 Medic energy),Исследовать реактор «Кадуцей»\n(+50 ед. к запасу энергии медиков),,False,,,
,Research Charon Boosters\n(Increased Goliath Missile Range),Исследовать ускорители «Харон»\n(увеличивают дальность действия ракет «Голиафов»),,False,,,
,Evolve Anabolic Synthesis\n(Faster Ultralisk Movement),Развить анаболический синтез \n(повышает скорость передвижения ультралисков),,False,,,
,Evolve Chitinous Plating\n(Improved Ultralisk Armor),Развить хитиновый панцирь \n(укрепляет броню ультралисков),,False,,,
,Develop Argus Jewel\n(+50 Corsair energy),Разработать кристалл Аргуса \n(+50 ед. к запасу энергии «Корсаров»),,False,,,
,Develop Argus Talisman\n(+50 Dark Archon energy),Разработать талисман Аргуса \n(+50 ед. к запасу энергии темных архонтов),,False,,,
,Research Charon Booster:\n   Requires Armory,Исследовать ускорители «Харон»\n   Требуется арсенал,,False,,,
,Devourer Aspect,Мутировать в пожирателя,,False,,,
,Morph to Lurker,Мутировать в скрытня,,False,,,
,Train Medic,Обучить медика,,False,,,
,Build Valkyrie,Построить «Валькирию»,,False,,,
,Warp in Corsair,Вызвать «Корсар»,,False,,,
,Warp in Dark Templar,Вызвать темного тамплиера,,False,,,
,Medic Requires:\n   Academy,Медик\n   Требуется академия,,False,,,
,Valkyrie Requires:\n   Attached Control Tower\n   Armory,«Валькирия»\n   Требуются пристроенная диспетчерская вышка и арсенал,,False,,,
,Dark Templar Requires:\n   Templar Archives,Темный тамплиер\n   Требуются архивы тамплиеров,,False,,,
,Cocoon,Кокон,,False,,,
,Personnel Cloaking,Личная маскировка,,False,,,
,Research Stim Pack Tech\n(Marine and Firebat ability),Исследовать стимуляторы\n(способность морпехов и огнеметчиков),,False,,,
,Research Lockdown\n(Ghost ability),Исследовать «Замыкание»\n(способность призраков),,False,,,
,Research EMP Shockwave\n(Science Vessel ability),Исследовать «Волну ЭМИ»\n(способность научных судов),,False,,,
,Research Spider Mines\n(Vulture ability),Исследовать «Паучьи мины»\n(способность «Стервятников»),,False,,,
,Research Siege Tech\n(Siege Tank ability),Исследовать смену режимов\n(способность осадных танков),,False,,,
,Devourer Aspect Requires:\n   Greater Spire,Мутация в пожирателя\n   Требуется шпиль величия,,False,,,
,Lurker Aspect:\n   Evolve at Hydralisk Den,Мутировать в скрытня\n   Развивается в пещере гидралисков,,False,,,
,Blind,Ослепление,,False,,,
,Acid Spores,Кислотные споры,,False,,,
,per rocket,за ракету,,False,,,
,1st Lieutenant,Первый лейтенант,,False,,,
,Must target injured non-mechanical ground units,Целью могут быть только раненые органические боевые единицы.,,False,,,
,Must target enemy units,Целью должна быть вражеская боевая единица.,,False,,,
