location,source,target,id,fuzzy,context,translator_comments,developer_comments
,Ship Weapons L1 Require:\n   Nothing,1级舰船武器需要：\n   无,,False,,,
,Ship Weapons L2 Require:\n   Science Facility,2级舰船武器需要：\n   科学站,,False,,,
,Ship Weapons L3 Require:\n   Science Facility,3级舰船武器需要：\n   科学站,,False,,,
,Missile Attacks L3 Require:\n   Hive,3级喷射攻击需要：\n   主巢,,False,,,
,Carapace L1 Requires:\n   Nothing,1级甲壳需要：\n   无,,False,,,
,Carapace L2 Requires:\n   Lair,2级甲壳需要：\n   虫穴,,False,,,
,Ground Weapons L2 Require:\n   Templar Archives,2级地面单位武器需要：\n   圣堂武士文献馆,,False,,,
,Ground Weapons L3 Require:\n   Templar Archives,3级地面单位武器需要：\n   圣堂武士文献馆,,False,,,
,Air Weapons L1 Require:\n   Nothing,1级空中单位武器需要：\n   无,,False,,,
,Air Armor L1 Requires:\n   Nothing,1级空中单位护甲需要：\n   无,,False,,,
,Air Armor L2 Requires:\n   Fleet Beacon,2级空中单位护甲需要：\n   舰队航标,,False,,,
,Air Armor L3 Requires:\n   Fleet Beacon,3级空中单位护甲需要：\n   舰队航标,,False,,,
,Shields L1 Require:\n   Nothing,1级护盾需要：\n   无,,False,,,
,Recruit,新兵,,False,,,
,Morph to Zerglings,变异为跳虫,,False,,,
,Morph to Hydralisk,变异为刺蛇,,False,,,
,Morph to Ultralisk,变异为雷兽,,False,,,
,Build Vulture,建造秃鹫,,False,,,
,Build Science Vessel,建造科学船,,False,,,
,Build Dropship,建造运输船,,False,,,
,Arm Nuclear Silo,装备核弹发射井,,False,,,
,Warp in Scout,折跃侦察机,,False,,,
,Warp in Arbiter,折跃仲裁者,,False,,,
,Warp in Carrier,折跃航母,,False,,,
,Build Interceptor,建造拦截机,,False,,,
,Build Reaver,建造掠夺者,,False,,,
,Mutate into Ultralisk Cavern,变异为雷兽窟,,False,,,
,Place Nydus Canal Exit,放置坑道虫通道出口,,False,,,
,Warp in Robotics Facility,折跃机械台,,False,,,
,Warp in Observatory,折跃观测台,,False,,,
,Warp in Citadel of Adun,折跃亚顿堡垒,,False,,,
,Warp in Templar Archives,折跃圣堂武士文献馆,,False,,,
,Warp in Stargate,折跃星门,,False,,,
,Warp in Fleet Beacon,折跃舰队航标,,False,,,
,Build Armory,建造军械库,,False,,,
,Build Comsat Station,建造卫星站,,False,,,
,Build Nuclear Silo,建造核弹发射井,,False,,,
,Liftoff,升空,,False,,,
,Set Rally Point,设置集结点,,False,,,
,Build Structure,建造建筑,,False,,,
,Build Advanced Structure,建造高级建筑,,False,,,
,Basic Mutation,基础变异,,False,,,
,Advanced Mutation,高级变异,,False,,,
,ESC - Cancel Last,ESC - 取消上一行动,,False,,,
,ESC - Cancel Addon,ESC - 取消附属建筑,,False,,,
,ESC - Cancel Morph,ESC - 取消变异,,False,,,
,ESC - Cancel Mutation,ESC - 取消变异,,False,,,
,Goliath Requires:\n   Armory,歌利亚需要：\n   军械库,,False,,,
,Barracks Requires:\n   Command Center,兵营需要：\n   指挥中心,,False,,,
,Academy Requires:\n   Barracks,学院需要：\n   兵营,,False,,,
,Factory Requires:\n   Barracks,重工厂需要：\n   兵营,,False,,,
,Starport Requires:\n   Factory,星港需要：\n   重工厂,,False,,,
,Science Facility Requires:\n   Starport,科学站需要：\n   星港,,False,,,
,Engineering Bay Requires:\n   Command Center,工程站需要：\n   指挥中心,,False,,,
,Stargate Requires:\n   Cybernetics Core,星门需要：\n   控制芯核,,False,,,
,Arbiter Tribunal Requires:\n   Stargate\n   Templar Archives,仲裁者法庭需要：\n   星门\n   圣堂武士文献馆,,False,,,
,Zerglings Require:\n   Spawning Pool,跳虫需要：\n   分裂池,,False,,,
,Hydralisk Requires:\n   Hydralisk Den,刺蛇需要：\n   刺蛇巢,,False,,,
,Ultralisk Requires:\n   Ultralisk Cavern,雷兽需要：\n   雷兽窟,,False,,,
,Evolution Chamber Requires:\n   Hatchery,进化腔需要：\n   孵化场,,False,,,
,Production,产量,,False,,,
,Unit Ptr:,单位Ptr:,,False,,,
,'% Complete','%完成',,False,,,
,Hide Terrain in Minimap (Tab),在小地图上隐藏地形(Tab),,False,,,
,Diplomacy,外交,,False,,,
,Messaging,发送消息,,False,,,
,Game Menu (F10),游戏菜单(F10),,False,,,
,Psi Max:,最大灵能：,,False,,,
,Parasite Detected,检测到寄生虫,,False,,,
,Disabled,关闭,,False,,,
,Must target damaged mechanical units or damaged complete buildings.,必须以受损的机械单位或受损的完整建筑为目标。,,False,,,
,Terran Marine,人类陆战队员,,False,,,
,Terran Ghost,人类幽灵,,False,,,
,Vulture Spider Mine,秃鹫蜘蛛雷,,False,,,
,Nuclear Missile,聚变打击,,False,,,
,Terran Civilian,人类平民,,False,,,
,Sarah Kerrigan,莎拉·凯瑞甘,,False,,,
,Norad II,诺拉德二号,,False,,,
,Scanner Sweep,析象扫描,,False,,,
,Zerg Egg,异虫虫卵,,False,,,
,Zerg Drone,异虫工蜂,,False,,,
,Zerg Overlord,异虫王虫,,False,,,
,Zerg Mutalisk,异虫异龙,,False,,,
,Zerg Scourge,异虫爆蚊,,False,,,
,Unclean One,不洁者,,False,,,
,Hunter Killer,屠猎者,,False,,,
,Terran Valkyrie,人类瓦格雷战机,,False,,,
,Cocoon,虫茧,,False,,,
,Protoss Dark Archon,星灵黑暗执政官,,False,,,
,Protoss Zealot,星灵狂热者,,False,,,
,Protoss Dragoon,星灵龙骑士,,False,,,
,Mojo,摩约,,False,,,
,Warbringer,战争使者,,False,,,
,Danimoth,达尼莫斯,,False,,,
,Aldaris,阿达瑞斯,,False,,,
,Bengalaas,孟加豹,,False,,,
,Unused,未使用,,False,,,
,Terran Comsat Station,人类卫星站,,False,,,
,Terran Barracks,人类兵营,,False,,,
,Terran Engineering Bay,人类工程站,,False,,,
,Terran Bunker,人类地堡,,False,,,
,Ion Cannon,离子炮,,False,,,
,Zerg Lair,异虫虫穴,,False,,,
,Zerg Defiler Mound,异虫蝎虫窝,,False,,,
,Play,播放 (P),,False,,,
,Pause,暂停 (P),,False,,,
,Slow Down,减速 (D),,False,,,
,Replay Progress,录像进度,,False,,,
,Paused,已暂停,,False,,,
,Unlimited,无限,,False,,,
,Seeking To: %s,寻找：%s,,False,,,
,Player,玩家,,False,,,
,APM,APM,,False,,,
,EPM,EPM,,False,,,
,Must target Terran units.,必须以人类单位为目标。,,False,,,
,Must target non-robotic ground units.,必须以非机械地面单位为目标。,,False,,,
,Must target ground.,必须以地面为目标。,,False,,,
,Target out of range.,目标超出射程。,,False,,,
,Unable to target structure.,无法以建筑为目标。,,False,,,
,Protoss Probe,星灵探机,,False,,,
,Zerg Flag Beacon,异虫旗标,,False,,,
,Terran Flag Beacon,人类旗标,,False,,,
,Floor Hatch (UNUSED),地面孵化场 (未使用),,False,,,
,Target is too close.,目标太近。,,False,,,
,Can only pick up your own transportable units.,只能乘载自己的可运输单位。,,False,,,
,Not enough room for unit.,可用空间不足以装载此单位。,,False,,,
,Must gather from a Mineral Field or Vespene Geyser.,必须从晶体矿脉或瓦斯气泉采集。,,False,,,
,Vespene Geyser depleted.,瓦斯气泉已经枯竭。,,False,,,
,Invalid target.,无效目标。,,False,,,
,Must target units.,必须以单位为目标。,,False,,,
,Unable to attack target.,无法攻击目标。,,False,,,
,Must target mechanical units.,必须以机械单位为目标。,,False,,,
,Resources to go,剩余资源,,False,,,
,Kills to go,剩余消灭数,,False,,,
,Score to go,剩余得分,,False,,,
,You can't build next to minerals or geysers.,无法在晶体矿和气泉旁边建造。,,False,,,
,An undetected unit is in the way.,一名未探测到的单位挡住了路。,,False,,,
,You can't build off the map.,无法建造在地图外面。,,False,,,
,"Nothing to harvest. Find a Mine, or build a Refinery at a Vespene Geyser.",没东西可收获。找到一处晶体矿，或在瓦斯气泉上建造一座精炼厂。,,False,,,
,Must target severely damaged Terran Command Center.,必须以严重受损的人类指挥中心为目标。,,False,,,
,Build an Assimilator there first.,先在那里建造一座吸纳舱。,,False,,,
,Die,死亡,,False,,,
,Fizzle,嘶嘶声,,False,,,
,Move Attack Unit,移动攻击单位,,False,,,
,Attack Tile,攻击区格,,False,,,
,Hover,悬浮,,False,,,
,Attack Move,攻击移动,,False,,,
,Atk Move EP,攻击移动EP,,False,,,
,Harass Move,骚扰移动,,False,,,
,Train,训练,,False,,,
,Zerg Birth,异虫孵化,,False,,,
,Reaver Fight,掠夺者战斗,,False,,,
,Reaver Hold,掠夺者坚守,,False,,,
,Train Fighter,训练战士,,False,,,
,Strafe Unit,炮轰单位,,False,,,
,Return,返回,,False,,,
,Drone Land,无人机登陆,,False,,,
,Move Unload,移动卸载,,False,,,
,Fire Yamato Gun,发射大和炮,,False,,,
,Magna Pulse,麦格纳脉冲,,False,,,
,Nuke Track,核弹轨道,,False,,,
,Initializing Arbiter,正在初始化仲裁者,,False,,,
,Cloaking nearby units,隐形附近的单位,,False,,,
,Place Mine,安置地雷,,False,,,
,Right Click Action,右键点击行动,,False,,,
,Critter,野外生物,,False,,,
,Hidden Gun,隐藏枪炮,,False,,,
,Open Door,开门,,False,,,
,Close Door,关门,,False,,,
,Hide Trap,隐藏陷阱,,False,,,
,Reveal Trap,揭示陷阱,,False,,,
,Subterranean Spines,隐蔽脊刺,,False,,,
,Neutron Flare,中子照明弹,,False,,,
,Mind Control,精神控制,,False,,,
,Healing,治疗,,False,,,
,Restoration,恢复,,False,,,
,Develop Maelstrom\n(Dark Archon ability),开发灵能漩涡\n(黑暗执政官技能),,False,,,
,Feedback:\n   No requirement,能量反蚀：\n   无需求,,False,,,
,Anabolic Synthesis,合成代谢,,False,,,
,Chitinous Plating,骨板,,False,,,
,Argus Jewel,阿古斯宝石,,False,,,
,Argus Talisman,阿古斯护符,,False,,,
,Train Medic,训练医疗兵,,False,,,
,Build Valkyrie,建造瓦格雷战机,,False,,,
,Warp in Corsair,折跃海盗船,,False,,,
,Warp in Dark Templar,折跃黑暗圣堂武士,,False,,,
,Medic Requires:\n   Academy,医疗兵需要：\n   学院,,False,,,
,Cast Feedback,施放能量反蚀,,False,,,
,Cast Optical Flare,施放眩光弹,,False,,,
,Cast Shockwave,施放冲击波,,False,,,
,Heal Move,治疗移动,,False,,,
,Medic Hold Position,医疗兵原地防御,,False,,,
,Junk Yard Dog,垃圾狗,,False,,,
,View Players,查看玩家,,False,,,
,Terran Vulture,人类秃鹫,,False,,,
,Terran Goliath,人类歌利亚,,False,,,
,Goliath Turret,歌利亚炮塔,,False,,,
,Terran Siege Tank,人类攻城坦克,,False,,,
,Tank Turret,坦克炮塔,,False,,,
,Terran SCV,人类SCV,,False,,,
,Terran Wraith,人类怨灵战机,,False,,,
,Terran Science Vessel,人类科学船,,False,,,
,Gui Montag,圭·蒙泰格,,False,,,
,Terran Dropship,人类运输船,,False,,,
,Terran Battlecruiser,人类战列巡航舰,,False,,,
,Alan Schezar,阿兰·斯切萨,,False,,,
,Alan Turret,阿兰炮塔,,False,,,
,Jim Raynor,吉姆·雷诺,,False,,,
,Tom Kazansky,汤姆·卡赞斯基,,False,,,
,Magellan,马格兰,,False,,,
,Edmund Duke,埃德蒙·杜克,,False,,,
,Duke Turret,杜克炮塔,,False,,,
,Arcturus Mengsk,阿克图尔斯·蒙斯克,,False,,,
,Hyperion,休伯利安号,,False,,,
,Terran Firebat,人类火蝠,,False,,,
,Terran Medic,人类医疗兵,,False,,,
,Zerg Larva,异虫幼虫,,False,,,
,Zerg Zergling,异虫跳虫,,False,,,
,Zerg Hydralisk,异虫刺蛇,,False,,,
,Zerg Ultralisk,异虫雷兽,,False,,,
,Zerg Broodling,异虫巢虫,,False,,,
,Zerg Guardian,异虫守护者,,False,,,
,Zerg Queen,异虫后虫,,False,,,
,Zerg Defiler,异虫蝎虫,,False,,,
,Torrasque,暴龙兽,,False,,,
,Matriarch,族长,,False,,,
,Infested Terran,被感染的人类,,False,,,
,Infested Kerrigan,被感染的凯瑞甘,,False,,,
,Devouring One,吞食者,,False,,,
,Kukulza,库库尔扎,,False,,,
,Yggdrasill,伊格德拉西,,False,,,
,Protoss Corsair,星灵海盗船,,False,,,
,Protoss Dark Templar,星灵黑暗圣堂武士,,False,,,
,Zerg Devourer,异虫吞噬者,,False,,,
,Protoss High Templar,星灵高阶圣堂武士,,False,,,
,Protoss Archon,星灵执政官,,False,,,
,Protoss Shuttle,星灵穿梭机,,False,,,
,Protoss Scout,星灵侦察机,,False,,,
,Protoss Arbiter,星灵仲裁者,,False,,,
,Protoss Carrier,星灵航母,,False,,,
,Protoss Interceptor,星灵拦截机,,False,,,
,Dark Templar,黑暗圣堂武士,,False,,,
,Zeratul,泽拉图,,False,,,
,Tassadar/Zeratul,塔萨达尔/泽拉图,,False,,,
,Fenix,菲尼克斯,,False,,,
,Tassadar,塔萨达尔,,False,,,
,Gantrithor,星梭号,,False,,,
,Protoss Reaver,星灵掠夺者,,False,,,
,Protoss Observer,星灵侦测器,,False,,,
,Protoss Scarab,星灵金甲虫,,False,,,
,Artanis,阿塔尼斯,,False,,,
,Rhynadon,犀角兽,,False,,,
,Scantid,斯坎迪蝎,,False,,,
,Kakaru,彩蛇鸟,,False,,,
,Ragnasaur,岩龙,,False,,,
,Ursadon,熊齿兽,,False,,,
,Zerg Lurker Egg,异虫潜伏者虫卵,,False,,,
,Raszagal,拉莎加尔,,False,,,
,Samir Duran,萨米尔·杜兰,,False,,,
,Alexei Stukov,阿列克谢·斯托科夫,,False,,,
,Map Revealer,地图探测器,,False,,,
,Gerard DuGalle,杰拉德·杜加尔,,False,,,
,Zerg Lurker,异虫潜伏者,,False,,,
,Infested Duran,被感染的杜兰,,False,,,
,Disruption Field,干扰力场,,False,,,
,Terran Command Center,人类指挥中心,,False,,,
,Terran Nuclear Silo,人类核弹发射井,,False,,,
,Terran Supply Depot,人类补给站,,False,,,
,Terran Refinery,人类精炼厂,,False,,,
,Terran Academy,人类学院,,False,,,
,Terran Factory,人类重工厂,,False,,,
,Terran Starport,人类星港,,False,,,
,Terran Control Tower,人类控制塔,,False,,,
,Terran Science Facility,人类科学站,,False,,,
,Terran Covert Ops,人类特战部,,False,,,
,Terran Physics Lab,人类物理实验室,,False,,,
,Unused Terran Bldg,未使用的人类建筑,,False,,,
,Terran Machine Shop,人类机械车间,,False,,,
,Terran Armory,人类军械库,,False,,,
,Terran Missile Turret,人类导弹塔,,False,,,
,Uraj Crystal,乌拉基水晶,,False,,,
,Khalis Crystal,卡利斯水晶,,False,,,
,Infested Command Center,被感染的指挥中心,,False,,,
,Zerg Hatchery,异虫孵化场,,False,,,
,Zerg Hive,异虫主巢,,False,,,
,Zerg Nydus Canal,异虫坑道虫通道,,False,,,
,Zerg Hydralisk Den,异虫刺蛇巢,,False,,,
,Zerg Evolution Chamber,异虫进化腔,,False,,,
,Zerg Ultralisk Cavern,异虫雷兽窟,,False,,,
,Zerg Spire,异虫尖塔,,False,,,
,Zerg Spawning Pool,异虫分裂池,,False,,,
,Zerg Creep Colony,异虫菌毯集群,,False,,,
,Zerg Spore Colony,异虫孢子集群,,False,,,
,Unused Zerg Bldg,未使用的异虫建筑,,False,,,
,Zerg Sunken Colony,异虫潜隐集群,,False,,,
,Mature Chrysalis,成熟蛹,,False,,,
,Zerg Cerebrate,异虫脑虫,,False,,,
,Zerg Cerebrate Daggoth,异虫脑虫达戈斯,,False,,,
,Unused Zerg Bldg 5,未使用的异虫建筑 5,,False,,,
,Protoss Nexus,星灵枢纽,,False,,,
,Protoss Pylon,星灵水晶塔,,False,,,
,Protoss Assimilator,星灵吸纳舱,,False,,,
,Protoss Unused,星灵未使用,,False,,,
,Protoss Observatory,星灵观测台,,False,,,
,Protoss Gateway,星灵传送门,,False,,,
,Protoss Citadel of Adun,星灵亚顿堡垒,,False,,,
,Protoss Cybernetics Core,星灵控制芯核,,False,,,
,Protoss Templar Archives,星灵圣堂武士文献馆,,False,,,
,Protoss Stargate,星灵星门,,False,,,
,Stasis Cell/Prison,静滞牢笼/监狱,,False,,,
,Protoss Fleet Beacon,星灵舰队航标,,False,,,
,Protoss Arbiter Tribunal,星灵仲裁者法庭,,False,,,
,Protoss Robotics Support Bay,星灵机械支持研究所,,False,,,
,Cave-in,塌陷,,False,,,
,Cantina,酒馆,,False,,,
,Mining Platform,采矿平台,,False,,,
,Independent Command Center,独立指挥中心,,False,,,
,Independent Starport,独立星港,,False,,,
,Jump Gate,折跃门,,False,,,
,Ruins,废墟,,False,,,
,Kyadarin Crystal Formation,凯达林水晶矿,,False,,,
,Vespene Geyser,瓦斯气泉,,False,,,
,Warp Gate,折跃门,,False,,,
,Psi Disrupter,灵能干扰器,,False,,,
,Zerg Marker,异虫标记,,False,,,
,Terran Marker,人类标记,,False,,,
,Protoss Marker,星灵标记,,False,,,
,Zerg Beacon,异虫信标,,False,,,
,Terran Beacon,人类信标,,False,,,
,Protoss Beacon,星灵信标,,False,,,
,Protoss Flag Beacon,星灵旗标,,False,,,
,Dark Swarm,黑暗虫群,,False,,,
,Floor Missile Trap,地面导弹陷阱,,False,,,
,Left Upper Level Door,左上层门,,False,,,
,Right Pit Door,右侧凹陷门,,False,,,
,Floor Gun Trap,地面枪械陷阱,,False,,,
,Left Wall Flame Trap,左墙火焰陷阱,,False,,,
,Right Wall Missile Trap,右墙导弹陷阱,,False,,,
,Right Wall Flame Trap,右墙火焰陷阱,,False,,,
,Start Location,初始位置,,False,,,
,Flag,旗帜,,False,,,
,Young Chrysalis,幼虫蛹,,False,,,
,Gauss Rifle,电磁枪,,False,,,
,Fragmentation Grenade,碎片榴弹,,False,,,
,Twin Autocannons,双门机关炮,,False,,,
,Fusion Cutter,熔枪,,False,,,
,Gemini Missiles,双子飞弹,,False,,,
,Burst Lasers,脉冲激光炮,,False,,,
,ATS Laser Battery,空对地激光炮组,,False,,,
,Flame Thrower,火焰喷射器,,False,,,
,Arclite Shock Cannon,弧光震击炮,,False,,,
,Longbolt Missile,长箭飞弹,,False,,,
,Nuclear Strike,聚变打击,,False,,,
,EMP Shockwave,电磁冲击波,,False,,,
,Claws,利爪,,False,,,
,Needle Spines,骨针,,False,,,
,Toxic Spores,剧毒孢子,,False,,,
,Spines,脊刺,,False,,,
,Glave Wurm,刃虫,,False,,,
,Venom,毒液,,False,,,
,Subterranean Tentacle,潜地触须,,False,,,
,Particle Beam,粒子光束,,False,,,
,Psi Blades,灵能利刃,,False,,,
,Phase Disruptor,相位碎裂炮,,False,,,
,Psi Assault,灵能突袭,,False,,,
,Psionic Shockwave,灵能冲击波,,False,,,
,Dual Photon Blasters,双光子冲击炮,,False,,,
,Anti-matter Missiles,反物质导弹,,False,,,
,Phase Disruptor Cannon,相位碎裂炮,,False,,,
,Pulse Cannon,脉冲炮,,False,,,
,STA Photon Cannon,地对空光子炮,,False,,,
,Scarab,金甲虫,,False,,,
,Missiles,导弹,,False,,,
,Laser Battery,激光电池,,False,,,
,Tormentor Missiles,折磨导弹,,False,,,
,Bombs,炸弹,,False,,,
,Raider Gun,掠袭炮,,False,,,
,Flechette Grenade,镖弹手雷,,False,,,
,Stim Packs,强化剂：,,False,,,
,Lockdown,锁定,,False,,,
,Spider Mines,蜘蛛雷,,False,,,
,Tank Siege Mode,坦克攻城模式,,False,,,
,Defensive Matrix,防御矩阵,,False,,,
,Yamato Gun,大和炮,,False,,,
,Cloaking Field,隐形力场,,False,,,
,Personnel Cloaking,隐形迷彩,,False,,,
,Research Stim Pack Tech\n(Marine and Firebat ability),研究强化剂\n(陆战队员和火蝠技能),,False,,,
,Research Spider Mines\n(Vulture ability),研究蜘蛛雷\n(秃鹫技能),,False,,,
,Research Siege Tech\n(Siege Tank ability),研究攻城模式\n(攻城坦克技能),,False,,,
,Research Defensive Matrix\n(Science Vessel ability),研究防御矩阵\n(科学船技能),,False,,,
,Research Irradiate\n(Science Vessel ability),研究辐照\n(科学船技能),,False,,,
,Research Yamato Gun\n(Battlecruiser ability),研究大和炮\n(战列巡航舰技能),,False,,,
,Research Cloaking Field\n(Wraith ability),研究隐形力场\n(怨灵战机技能),,False,,,
,Research Personnel Cloaking\n(Ghost ability),研究隐形迷彩\n(幽灵技能),,False,,,
,Use Spider Mines,使用蜘蛛雷,,False,,,
,Scanner Sweep (Detector),析象扫描(侦测技能),,False,,,
,Siege Mode,攻城模式,,False,,,
,Tank Mode,坦克模式,,False,,,
,Activate Defensive Matrix,启动防御矩阵,,False,,,
,Activate EMP Shockwave,启动电磁冲击波,,False,,,
,Stim Packs:\n   Research at Academy,强化剂：\n   在学院研究,,False,,,
,Lockdown:\n   Research at Covert Ops,锁定：\n   在特战部研究,,False,,,
,Spider Mines:\n   Research at Machine Shop,蜘蛛雷：\n   在机械车间研究,,False,,,
,Siege Mode:\n   Research at Machine Shop,攻城模式：\n   在机械车间研究,,False,,,
,Defensive Matrix:\n   Research at Science Facility,防御矩阵：\n   在科学站研究,,False,,,
,EMP Shockwave:\n   Research at Science Facility,电磁冲击波：\n   在科学站研究,,False,,,
,Irradiate:\n   Research at Science Facility,辐照：\n   在科学站研究,,False,,,
,Cloaking Field:\n   Research at Control Tower,隐形力场：\n   在控制塔研究,,False,,,
,Personnel Cloaking:\n   Research at Covert Ops,隐形迷彩\n   在特战部研究,,False,,,
,Burrowing,潜地,,False,,,
,Infestation,感染,,False,,,
,Consume,吞噬,,False,,,
,Ensnare,诱捕,,False,,,
,Evolve Burrow\n(Ground unit ability),进化潜地\n (地面单位技能),,False,,,
,Evolve Infestation\n(Queen ability),进化感染\n(后虫技能),,False,,,
,Evolve Spawn Broodling\n(Queen ability),进化孵化巢虫\n(后虫技能),,False,,,
,Evolve Dark Swarm\n(Defiler ability),进化黑暗虫群\n(蝎虫技能),,False,,,
,Evolve Parasite\n(Queen ability),进化寄生虫\n(后虫技能),,False,,,
,Evolve Plague\n(Defiler ability),进化瘟疫\n(蝎虫技能),,False,,,
