location,source,target,id,fuzzy,context,translator_comments,developer_comments
,Evolve Flyer Carapace,Evolucionar Caparazón de unidad aérea,,False,,,
,Upgrade Ground Armor,Mejorar Armadura terrestre,,False,,,
,Upgrade Air Armor,Mejorar Armadura aérea,,False,,,
,Upgrade Infantry Weapons,Mejorar Armas de infantería,,False,,,
,Upgrade Vehicle Weapons,Mejorar Armas de vehículo,,False,,,
,Upgrade Ship Weapons,Mejorar Armas de nave,,False,,,
,Upgrade Melee Attacks,Mejorar Ataques de melé,,False,,,
,Upgrade Missile Attacks,Mejorar Ataques de misiles,,False,,,
,Upgrade Flyer Attacks,Mejorar Ataques de unidad aérea,,False,,,
,Upgrade Ground Weapons,Mejorar Armas terrestres,,False,,,
,Upgrade Air Weapons,Mejorar Armas aéreas,,False,,,
,Upgrade Plasma Shields,Mejorar Escudos de plasma,,False,,,
,Research U-238 Shells\n(Increase Marine attack range),Investigar Cartuchos U-238\n(aumenta el rango de ataque de los Marines),,False,,,
,Research Ion Thrusters\n(Faster Vulture movement),Investigar Impulsores de iones\n(aumenta la velocidad de movimiento de los Buitres),,False,,,
,Research Burst Lasers\n(Wraith Weapon),Investigar Láseres explosivos\n(arma de Ánima),,False,,,
,Research Titan Reactor\n(+50 Science Vessel energy),Investigar Reactor titánico\n(+50 de energía al Navío científico),,False,,,
,Research Ocular Implants\n(Increase Ghost sight range),Investigar Implantes oculares\n(aumenta el campo de visión de los Fantasmas),,False,,,
,Research Moebius Reactor\n(+50 Ghost energy),Investigar Reactor Moebius\n(+50 de energía a los Fantasmas),,False,,,
,Research Apollo Reactor\n(+50 Wraith energy),Investigar Reactor Apolo\n(+50 de energía a los Ánima),,False,,,
,Research Colossus Reactor\n(+50 Battlecruiser energy),Investigar Reactor Coloso\n(+50 de energía a los Cruceros de batalla),,False,,,
,Evolve Ventral Sacs\n(Transporting for Overlord),Evolucionar Sacos ventrales\n(Transporte para el Amo supremo),,False,,,
,Evolve Antennae\n(Increase Overlord sight range),Evolucionar Antenas\n(aumenta el campo de visión del Amo supremo),,False,,,
,Evolve Pneumatized Carapace\n(Faster Overlord movement),Evolucionar Caparazón neumatizado\n(aumenta la velocidad de movimiento del Amo supremo),,False,,,
,Evolve Metabolic Boost\n(Faster Zergling movement),Evolucionar Estímulo metabólico\n(aumenta la velocidad de movimiento de los Zergueznos),,False,,,
,Evolve Adrenal Glands\n(Faster Zergling Attack),Evolucionar Glándulas adrenales\n(los Zergueznos atacan más rápido),,False,,,
,Evolve Muscular Augments\n(Faster Hydralisk movement),Evolucionar Incrementos musculares\n(aumenta la velocidad de movimiento de los Hidraliscos),,False,,,
,Evolve Grooved Spines\n(Increase Hydralisk attack range),Evolucionar Espinas acanaladas\n(aumenta el alcance de ataque de los Hidraliscos),,False,,,
,Evolve Gamete Meiosis\n(+50 Queen energy),Evolucionar Meiosis de gametas\n(+50 de energía a la Reina),,False,,,
,Evolve Metasynaptic Node\n(+50 Defiler energy),Evolucionar Nodo metasináptico\n(+50 de energía a los Profanadores),,False,,,
,Develop Singularity Charge\n(Increase Dragoon attack range),Desarrollar Carga de singularidad\n(aumenta el rango de ataque de los Dragún),,False,,,
